,Product Name,Company,Original_Price,discound_Price,discound
599,"Printed Men High Neck Grey, Black T-Shirt",MANIAC,449,"2,319",80% 
600,Printed Men Round Neck White T-Shirt,Eyebogler,400,"1,299",69% 
601,Printed Men Round Neck White T-Shirt,MANIAC,243,"1,069",77% 
602,"Solid Men Polo Neck Green, Yellow T-Shirt",FINE PICS,339,"1,999",83% 
603,"Solid Men Round Neck White, Black T-Shirt",FastColors,255,"1,999",87% 
604,"Solid Men Round Neck Dark Green, Pink T-Shirt",Alan Jones,709,"2,398",70% 
605,Color Block Men Round Neck Light Green T-Shirt,Diwazzo,233,999,76% 
606,Printed Men Hooded Neck Black T-Shirt,TRIPR,248,"1,999",87% 
607,"Printed Men Round Neck White, Red T-Shirt",FastColors,246,"1,999",87% 
608,Printed Men V Neck Red T-Shirt,SLICS,281,999,71% 
609,"Printed, Color Block Men Round Neck White, Black T-Shir...",Canis,205,499,58% 
610,Color Block Men Hooded Neck White T-Shirt,HYDEY,176,999,82% 
611,Printed Men Round Neck Dark Green T-Shirt,MANIAC,376,"1,799",79% 
612,Printed Men Round Neck Dark Blue T-Shirt,Young trendz,215,"1,149",81% 
613,"Solid Men Henley Neck Red, Black T-Shirt",BLIVE,210,"1,399",84% 
614,"Color Block Men Round Neck Maroon, Black T-Shirt",BLIVE,210,"1,999",89% 
615,"Printed Men Hooded Neck Pink, Black T-Shirt",MANIAC,449,"2,399",81% 
616,"Printed Men Hooded Neck Black, White T-Shirt",Jump Cuts,224,"1,119",79% 
617,Printed Men Round Neck Blue T-Shirt,FastColors,229,"1,999",88% 
618,Printed Men Polo Neck Black T-Shirt,TRIPR,193,"1,999",90% 
619,"Color Block Men Round Neck Maroon, White T-Shirt",MANIAC,449,"2,199",79% 
620,"Color Block Men Round Neck Black, Green, Maroon T-Shirt",London Hills,424,"3,897",89% 
621,Printed Men Round Neck Yellow T-Shirt,krishnafit,191,999,80% 
622,"Typography Men Round Neck Maroon, White, Dark Blue T-Sh...",Jump Cuts,193,"1,079",82% 
623,Color Block Men Round Neck Green T-Shirt,Damensch,561,799,29% 
624,"Printed Men Round Neck Black, Grey T-Shirt",Jump Cuts,188,"1,079",82% 
625,"Color Block Men Hooded Neck Yellow, Black T-Shirt",HYDEY,163,999,83% 
626,"Color Block Men Round Neck Black, White T-Shirt",BLIVE,219,"1,999",89% 
627,Printed Men Round Neck Dark Blue T-Shirt,MANIAC,336,"1,719",80% 
628,Printed Men Hooded Neck Reversible Multicolor T-Shirt,NB NICKY BOY,220,999,77% 
629,Printed Men Hooded Neck Dark Blue T-Shirt,TRIPR,219,"1,999",89% 
630,Typography Men Round Neck Grey T-Shirt,TRIPR,188,"1,999",90% 
631,"Checkered Men Round Neck Dark Blue, Green T-Shirt",MANIAC,449,"2,199",79% 
632,Color Block Men Hooded Neck Yellow T-Shirt,HYDEY,176,999,82% 
633,"Printed Men Round Neck Black, Yellow T-Shirt",BLIVE,201,"1,999",89% 
634,Printed Men Round Neck Yellow T-Shirt,Jump Cuts,200,"1,379",85% 
635,"Printed Men Round Neck Black, White T-Shirt",MANIAC,354,"1,799",80% 
636,Color Block Men Hooded Neck Red T-Shirt,FastColors,279,999,72% 
637,Solid Men Henley Neck White T-Shirt,Ojass,246,"1,129",78% 
638,"Color Block Men Hooded Neck Navy Blue, Grey T-Shirt",HYDEY,176,999,82% 
639,"Printed Men Round Neck White, Black T-Shirt",MANIAC,354,"1,799",80% 
640,Color Block Men Round Neck Green T-Shirt,Diwazzo,233,799,70% 
641,Typography Men Round Neck Black T-Shirt,London Hills,376,"1,299",71% 
642,"Solid Men Polo Neck Grey, Maroon T-Shirt",INKKR,386,"1,299",70% 
643,"Color Block Men Hooded Neck Navy Blue, Grey T-Shirt",HYDEY,169,999,83% 
644,Printed Men Round Neck Grey T-Shirt,BLIVE,188,"1,399",86% 
645,"Color Block Men Round Neck Dark Blue, Red T-Shirt",MANIAC,410,"1,629",74% 
646,"Printed Men Hooded Neck Red, Black T-Shirt",TRIPR,236,"1,999",88% 
647,Solid Men Henley Neck Multicolor T-Shirt,BLIVE,415,"2,999",86% 
648,"Color Block Men Round Neck Black, Grey T-Shirt",mebadass,316,"1,299",75% 
649,"Printed Men Hooded Neck Black, White T-Shirt",Jump Cuts,224,"1,119",79% 
650,Color Block Men Round Neck Orange T-Shirt,Diwazzo,233,999,76% 
651,Color Block Men Polo Neck Multicolor T-Shirt,BLIVE,234,"1,999",88% 
652,Solid Men Henley Neck Blue T-Shirt,Ojass,272,"1,129",75% 
653,Graphic Print Men Round or Crew Black T-Shirt,Young trendz,225,840,73% 
654,Printed Men Round or Crew White T-Shirt,Canis,201,599,66% 
655,"Solid Men Collared Neck Red, Maroon T-Shirt",Uv Creation,354,"1,399",74% 
656,"Printed Men Round Neck Dark Blue, Grey T-Shirt",MANIAC,234,999,76% 
657,"Solid Men Round Neck Dark Green, Maroon, Black, Grey T-...",London Hills,851,"5,196",83% 
658,Printed Men Round Neck Black T-Shirt,TRIPR,164,"1,399",88% 
659,Solid Men Polo Neck White T-Shirt,Y.O.U - Youth Original Unique,424,799,46% 
660,Solid Men Polo Neck Multicolor T-Shirt,INKKR,386,999,61% 
661,Solid Men High Neck White T-Shirt,Ap'pulse,374,"1,199",68% 
662,Color Block Men Hooded Neck Dark Green T-Shirt,HYDEY,176,999,82% 
663,Typography Men Round Neck Blue T-Shirt,INKKR,291,999,70% 
664,Printed Men Round Neck Black T-Shirt,BLIVE,143,"1,399",89% 
665,"Solid Men Round Neck Dark Green, White, Maroon, Black T...",London Hills,851,"5,196",83% 
666,"Printed Men Round Neck Green, Black T-Shirt",MANIAC,249,"1,329",81% 
667,"Printed Men Round Neck White, Black T-Shirt",Canis,173,599,71% 
668,"Striped Men Round Neck Reversible White, Black, Yellow ...",Jump Cuts,234,679,65% 
669,Printed Men Round or Crew White T-Shirt,Canis,157,399,60% 
670,"Solid Men Round Neck Black, Orange T-Shirt",mebadass,300,999,69% 
671,Color Block Men Hooded Neck Dark Green T-Shirt,HYDEY,201,999,79% 
672,"Printed Men Round Neck Red, Black T-Shirt",Jump Cuts,234,"1,519",84% 
673,"Printed Men Round Neck Red, Black T-Shirt",Jump Cuts,193,"1,379",86% 
674,Printed Men Polo Neck Black T-Shirt,TRIPR,193,"1,999",90% 
675,"Solid Men Polo Neck Blue, Black T-Shirt",INKKR,386,"1,299",70% 
676,Color Block Men Round Neck Brown T-Shirt,Diwazzo,233,999,76% 
677,"Solid Men Polo Neck Red, Pink T-Shirt",FINE PICS,339,"1,999",83% 
678,"Solid Men Round Neck White, Black T-Shirt",Canis,173,499,65% 
679,"Typography Men Round Neck Red, Yellow, Black T-Shirt",London Hills,678,"3,999",83% 
680,Printed Men Round Neck White T-Shirt,Canis,157,399,60% 
